"","team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","actual_points_prob","expected_points","points","points_diff"
"1","Paris SG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148152322790844,57.7669222302014,68,10.2330777697986
"2","Angers",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.0561357444202354,23.7067113941908,27,3.29328860580919
"3","Auxerre",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.0498456723031774,27.8425160177655,32,4.1574839822345
"4","Brest",0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0522281598791931,33.2190552040065,37,3.78094479599351
"5","Le Havre",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.0652248678086182,23.4060475467029,21,-2.40604754670289
"6","Lens",0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.0536709246699761,42.546899974272,39,-3.54689997427204
"7","Lille",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0628161417375123,43.0472825937846,44,0.95271740621537
"8","Lyon",0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0571202754631559,42.1365810983597,45,2.86341890164032
"9","Marseille",0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0572171988664185,45.965525749484,49,3.03447425051598
"10","Monaco",0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0632727456194668,46.5710719623904,47,0.428928037609623
"11","Montpellier",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.0227522680625621,23.7838132746879,15,-8.78381327468793
"12","Nantes",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0622011487178182,29.1392016818657,27,-2.13920168186574
"13","Nice",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.0309857895590898,39.4426148049727,47,7.5573851950273
"14","Reims",0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.0218477372553474,32.2121718736264,23,-9.21217187362641
"15","Rennes",0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.0244665272983864,37.8103634754125,29,-8.81036347541254
"16","St Etienne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0638846228957646,22.8606702292275,20,-2.86067022922754
"17","Strasbourg",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.017763153267674,32.9421048403832,43,10.0578951596168
"18","Toulouse",0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.0580482385973581,36.6798874395189,34,-2.67988743951887
