"","team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","actual_points_prob","expected_points","points","points_diff"
"1","Liverpool",0.7047,0.1966,0.0607,0.022,0.0082,0.0041,0.0021,8e-04,4e-04,2e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0.0764968514489101,53.9439,56,2.05610000000001
"2","Arsenal",0.1942,0.3999,0.1902,0.0976,0.0492,0.03,0.0178,0.0096,0.0048,0.0034,0.0022,7e-04,2e-04,1e-04,0,1e-04,0,0,0,0,0.0762984002576942,48.5084,50,1.4916
"3","Bournemouth",0.0506,0.1607,0.2232,0.1639,0.1249,0.0815,0.0609,0.0438,0.035,0.0227,0.0145,0.0087,0.0058,0.0026,0.0011,0,0,1e-04,0,0,0.0558299780536265,43.902,40,-3.902
"4","Fulham",0.0184,0.0821,0.1452,0.1628,0.1289,0.1121,0.0909,0.0724,0.0562,0.0481,0.0303,0.024,0.0149,0.0075,0.004,0.0018,3e-04,1e-04,0,0,0.0444322985961014,41.3756,36,-5.3756
"5","Chelsea",0.0174,0.0657,0.1211,0.1371,0.132,0.1152,0.0992,0.0832,0.0642,0.0539,0.0413,0.0313,0.02,0.0102,0.0055,0.0017,9e-04,1e-04,0,0,0.0655372223238292,40.5804,43,2.4196
"6","Manchester City",0.0047,0.0292,0.0697,0.099,0.1114,0.1194,0.1095,0.1085,0.0881,0.0771,0.0625,0.0478,0.0343,0.0221,0.0095,0.0047,0.0017,6e-04,2e-04,0,0.0677475140567369,38.6224,41,2.3776
"7","Newcastle United",0.0037,0.0205,0.0556,0.0769,0.099,0.1082,0.1047,0.1088,0.1004,0.0847,0.0753,0.059,0.0452,0.0308,0.0171,0.0063,0.0033,5e-04,0,0,0.0610842586404742,37.6076,41,3.39239999999999
"8","Aston Villa",0.0026,0.0157,0.0425,0.0678,0.0896,0.1063,0.1097,0.1088,0.1043,0.0933,0.0839,0.0684,0.0472,0.0299,0.0183,0.0083,0.0024,8e-04,1e-04,1e-04,0.0785342886087124,37.0936,37,-0.0936000000000021
"9","Nottingham Forest",0.0015,0.0145,0.0394,0.069,0.0909,0.0994,0.1039,0.1088,0.1108,0.1009,0.0814,0.0688,0.0507,0.0314,0.0186,0.0078,0.0014,7e-04,1e-04,0,0.0100459516817094,36.9807,47,10.0193
"10","Tottenham",8e-04,0.003,0.0111,0.0218,0.0379,0.0467,0.0654,0.0784,0.0892,0.1052,0.1106,0.1117,0.1127,0.0877,0.063,0.0332,0.0168,0.0037,0.001,1e-04,0.0358682873729462,33.5105,27,-6.5105
"11","Crystal Palace",6e-04,0.0038,0.0157,0.0287,0.0421,0.0551,0.0706,0.0781,0.0856,0.0948,0.1079,0.1061,0.1021,0.0926,0.0605,0.0331,0.0161,0.0047,0.0015,3e-04,0.0598106310980278,33.7056,30,-3.7056
"12","Brighton",5e-04,0.0048,0.0126,0.0274,0.0384,0.0518,0.0613,0.0709,0.0868,0.0871,0.1057,0.1061,0.1067,0.0941,0.0661,0.0472,0.0213,0.0093,0.0012,7e-04,0.0695949618792698,33.2196,34,0.7804
"13","Manchester United",3e-04,0.0027,0.0093,0.0188,0.0299,0.0469,0.0612,0.0677,0.0893,0.0969,0.109,0.1172,0.1104,0.0984,0.0692,0.0434,0.0193,0.0076,0.0022,3e-04,0.0581145048143272,32.9355,29,-3.93550000000001
"14","Brentford",0,7e-04,0.0031,0.0066,0.0141,0.0177,0.0326,0.0427,0.0559,0.0788,0.0922,0.1201,0.1343,0.1442,0.1187,0.0779,0.0412,0.014,0.0046,6e-04,0.079418434962503,30.6297,31,0.370299999999997
"15","Everton",0,1e-04,4e-04,1e-04,0.0015,0.0026,0.0033,0.0074,0.0107,0.0201,0.0298,0.0473,0.0755,0.1236,0.1695,0.189,0.1612,0.0995,0.0432,0.0152,0.079047148007458,25.4675,26,0.532499999999999
"16","Ipswich",0,0,0,0,0,1e-04,0,1e-04,2e-04,5e-04,0.0013,0.0025,0.0053,0.0146,0.0334,0.0669,0.1326,0.2277,0.2878,0.227,0.0817264128047821,17.8937,16,-1.8937
"17","Leicester",0,0,0,0,1e-04,0,1e-04,2e-04,4e-04,0.0012,0.0024,0.0046,0.0107,0.0211,0.0428,0.087,0.1567,0.2396,0.2469,0.1862,0.0782144352996829,18.7893,17,-1.7893
"18","Southampton",0,0,0,0,0,0,1e-04,0,0,0,1e-04,3e-04,0.0011,0.0018,0.0082,0.0203,0.055,0.1355,0.2664,0.5112,0.0360408932514019,15.0404,9,-6.0404
"19","West Ham",0,0,0,5e-04,0.0014,0.0022,0.0037,0.0065,0.0102,0.0174,0.028,0.0417,0.0687,0.1028,0.1558,0.1896,0.1734,0.1101,0.0641,0.0239,0.0681529854891934,24.7948,27,2.2052
"20","Wolverhampton Wanderers",0,0,2e-04,0,5e-04,7e-04,0.003,0.0033,0.0075,0.0137,0.0215,0.0336,0.0542,0.0845,0.1387,0.1817,0.1964,0.1454,0.0807,0.0344,0.0519279243515798,23.8531,19,-4.85309999999999
